

 ********* 2016-09-06 10:22:44 Duration: 00:00:37 *********
---------- SCRIPT CALLS ----------
     TOTAL     AVERAGE     LONGEST    SHORTEST      COUNT  ELEMENT
  millisec    microsec    microsec    microsec
         0          10          18          10         18  . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
         0          12          16           8         18  . . . . . . . . . . . . . . . . . . $g$CER2.0-10.3-R64-65-67
         0          28          34          24          6  . . . . . . . . . . . . . . . . . . $g$CER2.0-6.2-R29-39-49
         0          20          25          17          6  . . . . . . . . . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
         0          11          15           9          6  . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
         0          26          36          23          6  . . . . . . . . . . . . . . . . . . $g$CER2.0-6.2-R30-40-50
         0          19          26          17          6  . . . . . . . . . . . . . . . . . . . $g$getParentProductOffering_PS_EVC
         0           9          12           9          6  . . . . . . . . . . . . . . . . . . . . $g$getSourceRelations
         0          22          41          14          6  . . . . . . . . . . . . . . . . . . $g$CER2.0-10.3-R07-002
         0          11          16          10          6  . . . . . . . . . . . . . . . . . . $g$CER2.0-10.3-R13-002
        28         430         839          37         66  . . . . . . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSitesForItem
